"Name","Team","G","HR","wRC+","ISO","HR/FB","FB%","Hard%","playerid"
"Kyle Schwarber","PHI","75","23","133",".293","24.2%","52.8%","36.3%","16478"
"Kyle Tucker","HOU","70","15","143",".234","15.8%","48.0%","34.3%","18345"
"Jose Abreu","CHW","72","9","141",".167","10.8%","36.4%","40.8%","15676"
"Dansby Swanson","ATL","77","13","131",".191","15.7%","41.1%","36.6%","18314"
"Shohei Ohtani","LAA","75","17","139",".240","21.0%","39.5%","37.4%","19755"
"Vladimir Guerrero Jr.","TOR","75","18","135",".227","25.4%","31.7%","38.8%","19611"
"Trea Turner","LAD","75","11","134",".182","13.3%","34.3%","34.3%","16252"
"Nolan Arenado","STL","74","14","135",".217","11.5%","50.4%","29.0%","9777"
"Juan Soto","WSN","76","14","129",".213","17.7%","36.4%","28.0%","20123"
"George Springer","TOR","68","15","133",".236","19.2%","39.0%","30.7%","12856"
"Anthony Rizzo","NYY","75","21","137",".281","20.2%","48.8%","33.6%","3473"
"Andrew Vaughn","CHW","56","7","137",".158","11.5%","34.3%","30.3%","26197"
"Matt Olson","ATL","77","12","126",".229","13.5%","40.3%","39.4%","14344"
"Rhys Hoskins","PHI","76","15","127",".226","17.4%","42.4%","33.0%","16472"
"Austin Riley","ATL","75","18","126",".247","23.1%","37.9%","43.2%","18360"
"Austin Hays","BAL","72","11","129",".196","12.5%","39.3%","34.2%","19363"
"Brandon Nimmo","NYM","68","5","130",".153","8.5%","28.5%","30.8%","12927"
"Will Smith","LAD","62","12","126",".204","13.6%","46.6%","32.3%","19197"
"Julio Rodriguez","SEA","77","13","132",".193","19.4%","33.3%","33.8%","23697"
"Bryan Reynolds","PIT","73","15","123",".215","22.7%","32.2%","26.8%","19326"
"Michael Brantley","HOU","64","5","129",".128","7.5%","31.3%","32.1%","4106"
"Connor Joe","COL","69","5","108",".122","7.5%","32.2%","23.6%","16572"
"Rowdy Tellez","MIL","73","15","119",".240","17.4%","43.7%","37.1%","15679"
"Alex Bregman","HOU","73","9","128",".168","8.7%","47.2%","33.0%","17678"
"Trey Mancini","BAL","68","7","123",".142","8.5%","40.2%","34.8%","15149"
