"Name","Team","G","HR","ISO","SLG","FB%","HR/FB","Hard%","playerid"
"Giancarlo Stanton","NYY","158","38",".243",".509","36.5%","25.0%","42.3%","4949"
"Lorenzo Cain","MIL","141","10",".109",".417","23.0%","9.7%","38.3%","9077"
"Michael Brantley","CLE","143","17",".160",".468","30.3%","10.9%","37.1%","4106"
"Anthony Rizzo","CHC","153","25",".187",".470","37.3%","13.6%","34.1%","3473"
"Tommy Pham","- - -","137","21",".188",".464","28.1%","21.0%","48.5%","2967"
"Andrew Benintendi","BOS","148","16",".174",".465","35.4%","9.4%","28.0%","17901"
"Jose Martinez","STL","152","17",".152",".457","27.7%","14.2%","40.5%","7996"
"Shin-Soo Choo","TEX","146","21",".170",".434","28.0%","18.6%","42.0%","3174"
"Ben Zobrist","CHC","139","9",".134",".440","30.3%","7.4%","35.5%","7435"
"Gregory Polanco","PIT","130","23",".245",".499","48.0%","13.8%","34.0%","12907"
"J.T. Realmuto","MIA","125","21",".208",".484","37.4%","14.9%","38.5%","11739"
"Yasmani Grandal","LAD","140","24",".225",".466","41.7%","18.0%","40.8%","11368"
"Stephen Piscotty","OAK","151","27",".223",".491","33.0%","18.8%","42.6%","13367"
"Travis Shaw","MIL","152","32",".239",".480","44.5%","18.3%","39.8%","11982"
"Didi Gregorius","NYY","134","27",".226",".494","41.6%","14.8%","36.0%","6012"
"Whit Merrifield","KCR","158","12",".134",".438","35.3%","6.5%","36.9%","11281"
"Justin Smoak","TOR","147","25",".216",".457","42.6%","16.7%","33.8%","9054"
"Justin Upton","LAA","145","30",".206",".463","35.8%","23.1%","43.8%","5222"
